,subject,parameter,value,IDs
0,1,$\beta$,1.5573069,25
1,2,$\beta$,2.0518153,32
2,3,$\beta$,2.3651972,33
3,4,$\beta$,2.7942076,27
4,5,$\beta$,2.636129,51
5,6,$\beta$,3.4458947,55
6,7,$\beta$,2.7938704,63
7,8,$\beta$,1.7269039,37
8,9,$\beta$,1.9948142,50
9,10,$\beta$,2.4688065,42
10,11,$\beta$,2.003039,56
11,12,$\beta$,1.917669,49
12,13,$\beta$,1.961003,40
13,14,$\beta$,1.0945293,54
14,15,$\beta$,2.0913146,66
15,16,$\beta$,1.8265408,67
16,17,$\beta$,2.3876457,46
17,18,$\beta$,2.198263,24
18,19,$\beta$,2.6279728,23
19,20,$\beta$,2.3869205,43
20,21,$\beta$,2.2370198,64
21,22,$\beta$,2.1688235,58
22,23,$\beta$,2.0732973,48
23,24,$\beta$,2.6877708,29
24,25,$\beta$,2.2767491,45
25,26,$\beta$,2.2016704,28
26,27,$\beta$,2.466448,39
27,28,$\beta$,2.3914168,44
28,29,$\beta$,3.0345929,57
29,30,$\beta$,2.4218535,35
30,31,$\beta$,2.8769608,30
31,32,$\beta$,1.6113226,31
32,33,$\beta$,1.4887888,61
33,34,$\beta$,2.2576451,47
34,35,$\beta$,2.051135,65
35,36,$\beta$,2.00244,52
36,37,$\beta$,2.7306511,62
37,38,$\beta$,2.5160158,34
38,39,$\beta$,1.8996587,60
39,40,$\beta$,2.2401016,38
40,1,$\beta$,1.6794109,25
41,2,$\beta$,2.231534,32
42,3,$\beta$,2.74049,33
43,4,$\beta$,3.123326,27
44,5,$\beta$,2.994552,51
45,6,$\beta$,3.36575,55
46,7,$\beta$,3.0363226,63
47,8,$\beta$,1.9659387,37
48,9,$\beta$,1.4767272,50
49,10,$\beta$,2.6657972,42
50,11,$\beta$,1.9755645,56
51,12,$\beta$,1.6621118,49
52,13,$\beta$,1.8076655,40
53,14,$\beta$,1.1607008,54
54,15,$\beta$,1.6269495,66
55,16,$\beta$,2.903389,67
56,17,$\beta$,1.93311,46
57,18,$\beta$,2.0984948,24
58,19,$\beta$,2.6414838,23
59,20,$\beta$,2.0660756,43
60,21,$\beta$,2.6463253,64
61,22,$\beta$,2.0169983,58
62,23,$\beta$,2.7195914,48
63,24,$\beta$,2.906919,29
64,25,$\beta$,2.4904385,45
65,26,$\beta$,3.1508896,28
66,27,$\beta$,1.8986061,39
67,28,$\beta$,1.6398934,44
68,29,$\beta$,2.837506,57
69,30,$\beta$,1.7342442,35
70,31,$\beta$,2.1444209,30
71,32,$\beta$,1.4347368,31
72,33,$\beta$,1.7634948,61
73,34,$\beta$,2.7860484,47
74,35,$\beta$,2.0935411,65
75,36,$\beta$,2.1947222,52
76,37,$\beta$,1.945167,62
77,38,$\beta$,2.5332124,34
78,39,$\beta$,2.138149,60
79,40,$\beta$,2.3731227,38
80,1,$\beta$,2.3442976,25
81,2,$\beta$,2.206296,32
82,3,$\beta$,2.8481321,33
83,4,$\beta$,2.4400213,27
84,5,$\beta$,2.5375032,51
85,6,$\beta$,3.452625,55
86,7,$\beta$,2.8232627,63
87,8,$\beta$,2.1419792,37
88,9,$\beta$,1.3110305,50
89,10,$\beta$,2.3626938,42
90,11,$\beta$,1.6700939,56
91,12,$\beta$,2.3498929,49
92,13,$\beta$,1.8498586,40
93,14,$\beta$,1.275227,54
94,15,$\beta$,2.0115201,66
95,16,$\beta$,2.3276744,67
96,17,$\beta$,2.2397778,46
97,18,$\beta$,2.753691,24
98,19,$\beta$,2.786172,23
99,20,$\beta$,2.8372145,43
100,21,$\beta$,1.8494331,64
101,22,$\beta$,2.5228665,58
102,23,$\beta$,2.0791512,48
103,24,$\beta$,2.6053317,29
104,25,$\beta$,1.8945469,45
105,26,$\beta$,2.040079,28
106,27,$\beta$,2.0457857,39
107,28,$\beta$,2.264596,44
108,29,$\beta$,2.3166924,57
109,30,$\beta$,2.279268,35
110,31,$\beta$,2.2693849,30
111,32,$\beta$,1.764187,31
112,33,$\beta$,1.6563581,61
113,34,$\beta$,2.5212429,47
114,35,$\beta$,2.1109407,65
115,36,$\beta$,1.978919,52
116,37,$\beta$,1.7319701,62
117,38,$\beta$,2.4488568,34
118,39,$\beta$,1.8580989,60
119,40,$\beta$,1.8974514,38
120,1,$\beta$,1.5337453,25
121,2,$\beta$,2.0375853,32
122,3,$\beta$,2.613496,33
123,4,$\beta$,2.6481676,27
124,5,$\beta$,2.0330482,51
125,6,$\beta$,3.6114316,55
126,7,$\beta$,3.9225774,63
127,8,$\beta$,1.4933654,37
128,9,$\beta$,1.79162,50
129,10,$\beta$,1.9627205,42
130,11,$\beta$,1.7480154,56
131,12,$\beta$,2.4449227,49
132,13,$\beta$,1.8574985,40
133,14,$\beta$,1.212162,54
134,15,$\beta$,1.6469121,66
135,16,$\beta$,1.9038125,67
136,17,$\beta$,2.0478132,46
137,18,$\beta$,2.4596071,24
138,19,$\beta$,2.7443337,23
139,20,$\beta$,2.4227335,43
140,21,$\beta$,2.9456644,64
141,22,$\beta$,2.2769852,58
142,23,$\beta$,2.1999545,48
143,24,$\beta$,2.344509,29
144,25,$\beta$,2.7620943,45
145,26,$\beta$,2.0947022,28
146,27,$\beta$,2.623954,39
147,28,$\beta$,2.7339678,44
148,29,$\beta$,2.2881138,57
149,30,$\beta$,3.401297,35
150,31,$\beta$,3.087378,30
151,32,$\beta$,1.333689,31
152,33,$\beta$,1.3856566,61
153,34,$\beta$,2.4954607,47
154,35,$\beta$,2.0687137,65
155,36,$\beta$,2.8129566,52
156,37,$\beta$,2.4347649,62
157,38,$\beta$,2.4475863,34
158,39,$\beta$,1.9557894,60
159,40,$\beta$,2.363565,38
160,1,$\beta$,1.5758665,25
161,2,$\beta$,3.3119364,32
162,3,$\beta$,2.6242766,33
163,4,$\beta$,2.8246102,27
164,5,$\beta$,2.8843122,51
165,6,$\beta$,4.0462794,55
166,7,$\beta$,3.485543,63
167,8,$\beta$,2.1896367,37
168,9,$\beta$,1.6560888,50
169,10,$\beta$,2.2877774,42
170,11,$\beta$,1.6368247,56
171,12,$\beta$,2.9037185,49
172,13,$\beta$,2.0542405,40
173,14,$\beta$,1.0662872,54
174,15,$\beta$,2.1692612,66
175,16,$\beta$,2.1077113,67
176,17,$\beta$,2.4690583,46
177,18,$\beta$,2.60664,24
178,19,$\beta$,3.0531878,23
179,20,$\beta$,3.4499865,43
180,21,$\beta$,2.5878227,64
181,22,$\beta$,2.6132932,58
182,23,$\beta$,2.781653,48
183,24,$\beta$,3.3570933,29
184,25,$\beta$,2.0658627,45
185,26,$\beta$,2.0574257,28
186,27,$\beta$,2.309458,39
187,28,$\beta$,2.4194558,44
188,29,$\beta$,3.2347665,57
189,30,$\beta$,2.421565,35
190,31,$\beta$,2.5487883,30
191,32,$\beta$,1.6768169,31
192,33,$\beta$,1.4041805,61
193,34,$\beta$,2.8746617,47
194,35,$\beta$,2.2032278,65
195,36,$\beta$,2.4237947,52
196,37,$\beta$,1.8542916,62
197,38,$\beta$,2.3102322,34
198,39,$\beta$,1.4629426,60
199,40,$\beta$,1.9884948,38
200,1,$\beta$,1.5839593,25
201,2,$\beta$,2.148926,32
202,3,$\beta$,2.473426,33
203,4,$\beta$,2.8409166,27
204,5,$\beta$,2.9680462,51
205,6,$\beta$,3.4316401,55
206,7,$\beta$,3.0974908,63
207,8,$\beta$,2.5450761,37
208,9,$\beta$,1.318092,50
209,10,$\beta$,2.020923,42
210,11,$\beta$,1.8804406,56
211,12,$\beta$,2.281557,49
212,13,$\beta$,1.9533781,40
213,14,$\beta$,1.0906123,54
214,15,$\beta$,2.1092553,66
215,16,$\beta$,2.114259,67
216,17,$\beta$,2.4486263,46
217,18,$\beta$,2.8685424,24
218,19,$\beta$,2.4441218,23
219,20,$\beta$,2.123785,43
220,21,$\beta$,1.8284252,64
221,22,$\beta$,2.616954,58
222,23,$\beta$,3.1237948,48
223,24,$\beta$,3.1031253,29
224,25,$\beta$,2.9941008,45
225,26,$\beta$,2.2944396,28
226,27,$\beta$,2.8074524,39
227,28,$\beta$,1.7088292,44
228,29,$\beta$,2.32395,57
229,30,$\beta$,2.3303542,35
230,31,$\beta$,2.3607452,30
231,32,$\beta$,1.9580312,31
232,33,$\beta$,1.5147122,61
233,34,$\beta$,2.8686519,47
234,35,$\beta$,2.0362332,65
235,36,$\beta$,1.7582084,52
236,37,$\beta$,1.6915253,62
237,38,$\beta$,2.8922575,34
238,39,$\beta$,1.502528,60
239,40,$\beta$,1.4878052,38
240,1,$\beta$,1.3744366,25
241,2,$\beta$,1.4208295,32
242,3,$\beta$,2.268546,33
243,4,$\beta$,2.963362,27
244,5,$\beta$,2.5126734,51
245,6,$\beta$,3.6553433,55
246,7,$\beta$,3.3641498,63
247,8,$\beta$,1.8228964,37
248,9,$\beta$,1.9023169,50
249,10,$\beta$,2.5792978,42
250,11,$\beta$,1.6738162,56
251,12,$\beta$,2.0104506,49
252,13,$\beta$,1.888382,40
253,14,$\beta$,0.99475145,54
254,15,$\beta$,1.4582251,66
255,16,$\beta$,1.9275335,67
256,17,$\beta$,1.6189884,46
257,18,$\beta$,2.2218919,24
258,19,$\beta$,2.5210261,23
259,20,$\beta$,2.1868384,43
260,21,$\beta$,2.021135,64
261,22,$\beta$,1.8669469,58
262,23,$\beta$,3.2729976,48
263,24,$\beta$,2.0150092,29
264,25,$\beta$,3.165707,45
265,26,$\beta$,1.845699,28
266,27,$\beta$,2.3481615,39
267,28,$\beta$,2.442159,44
268,29,$\beta$,2.3427093,57
269,30,$\beta$,1.7168295,35
270,31,$\beta$,2.2762735,30
271,32,$\beta$,1.7527173,31
272,33,$\beta$,1.4505969,61
273,34,$\beta$,1.9535902,47
274,35,$\beta$,2.7868924,65
275,36,$\beta$,2.1682327,52
276,37,$\beta$,2.2981868,62
277,38,$\beta$,2.9237893,34
278,39,$\beta$,1.3623084,60
279,40,$\beta$,1.8220989,38
280,1,$\beta$,1.2515786,25
281,2,$\beta$,2.4011588,32
282,3,$\beta$,3.2988331,33
283,4,$\beta$,2.3670397,27
284,5,$\beta$,2.9901204,51
285,6,$\beta$,5.441883,55
286,7,$\beta$,3.5577357,63
287,8,$\beta$,1.9075408,37
288,9,$\beta$,1.7367762,50
289,10,$\beta$,2.8102806,42
290,11,$\beta$,1.8437364,56
291,12,$\beta$,2.0997722,49
292,13,$\beta$,1.5589213,40
293,14,$\beta$,0.9559652,54
294,15,$\beta$,1.9607757,66
295,16,$\beta$,2.1160803,67
296,17,$\beta$,1.7853724,46
297,18,$\beta$,2.736747,24
298,19,$\beta$,2.2774777,23
299,20,$\beta$,2.8834834,43
300,21,$\beta$,2.6572664,64
301,22,$\beta$,2.3254635,58
302,23,$\beta$,3.9210024,48
303,24,$\beta$,3.5930681,29
304,25,$\beta$,2.4260828,45
305,26,$\beta$,2.0547297,28
306,27,$\beta$,2.9675412,39
307,28,$\beta$,2.7180872,44
308,29,$\beta$,2.4885416,57
309,30,$\beta$,2.2576518,35
310,31,$\beta$,3.1381605,30
311,32,$\beta$,1.6106604,31
312,33,$\beta$,1.2587014,61
313,34,$\beta$,2.2963984,47
314,35,$\beta$,2.050402,65
315,36,$\beta$,1.883702,52
316,37,$\beta$,2.1944864,62
317,38,$\beta$,2.1258616,34
318,39,$\beta$,1.6768148,60
319,40,$\beta$,2.66746,38
320,1,$\beta$,1.9228461,25
321,2,$\beta$,3.880375,32
322,3,$\beta$,2.531508,33
323,4,$\beta$,3.3452556,27
324,5,$\beta$,2.5914967,51
325,6,$\beta$,4.7540665,55
326,7,$\beta$,3.217388,63
327,8,$\beta$,1.7728744,37
328,9,$\beta$,1.8610797,50
329,10,$\beta$,2.1702366,42
330,11,$\beta$,1.3280077,56
331,12,$\beta$,2.0666642,49
332,13,$\beta$,2.0185392,40
333,14,$\beta$,1.3117505,54
334,15,$\beta$,1.7117134,66
335,16,$\beta$,1.8592594,67
336,17,$\beta$,1.9227502,46
337,18,$\beta$,3.1857564,24
338,19,$\beta$,3.201046,23
339,20,$\beta$,3.4102974,43
340,21,$\beta$,2.3750465,64
341,22,$\beta$,1.6189609,58
342,23,$\beta$,2.8949754,48
343,24,$\beta$,2.1345935,29
344,25,$\beta$,2.2333612,45
345,26,$\beta$,2.0517454,28
346,27,$\beta$,2.7953308,39
347,28,$\beta$,2.3867996,44
348,29,$\beta$,2.3417563,57
349,30,$\beta$,1.9492636,35
350,31,$\beta$,2.008043,30
351,32,$\beta$,1.4867967,31
352,33,$\beta$,1.6165681,61
353,34,$\beta$,2.804986,47
354,35,$\beta$,2.788322,65
355,36,$\beta$,2.565798,52
356,37,$\beta$,2.061847,62
357,38,$\beta$,2.7772183,34
358,39,$\beta$,1.9528607,60
359,40,$\beta$,2.0338242,38
360,1,$\beta$,1.5315568,25
361,2,$\beta$,2.2058318,32
362,3,$\beta$,3.3282628,33
363,4,$\beta$,4.594524,27
364,5,$\beta$,2.5430856,51
365,6,$\beta$,3.5974324,55
366,7,$\beta$,2.7228236,63
367,8,$\beta$,1.7657644,37
368,9,$\beta$,1.6328567,50
369,10,$\beta$,1.7434196,42
370,11,$\beta$,1.9199133,56
371,12,$\beta$,2.4691305,49
372,13,$\beta$,2.1989965,40
373,14,$\beta$,1.1192248,54
374,15,$\beta$,1.5822401,66
375,16,$\beta$,2.3654327,67
376,17,$\beta$,2.177049,46
377,18,$\beta$,2.0395973,24
378,19,$\beta$,3.1213672,23
